,Customer_ID,Age,Gender,Marital Status,Occupation,Monthly Income,Education,Location,Product_Description,Product_Category,Quantity,Unit_Price,Delivery_Charges,Coupon,Discount_Rate
0,16244,20,M,Single,Student,0,Undergrad,Peoria-Illinois,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1.0,102.13,6.5,,10.0
1,16244,20,M,Single,Student,0,Undergrad,Peoria-Illinois,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,,
2,14688,18,M,Single,Student,1,Undergrad,Boise-Idaho,Google Women's Scoop Neck Tee White,Apparel,1.0,6.0,6.0,,30.0
3,14688,18,M,Single,Student,1,Undergrad,Boise-Idaho,Nest Thermostat E - USA,Nest,3.0,99.0,6.5,,20.0
4,14688,18,M,Single,Student,1,Undergrad,Boise-Idaho,25L Classic Rucksack,Backpacks,1.0,103.15,6.5,,
5,14688,18,M,Single,Student,1,Undergrad,Boise-Idaho,Nest Learning Thermostat 3rd Gen - CA - Stainless Steel,Nest-Canada,2.0,199.0,8.7,,30.0
6,14688,18,M,Single,Student,1,Undergrad,Boise-Idaho,YouTube Men's Short Sleeve Hero Tee Black,Apparel,1.0,13.59,6.0,,
7,14688,18,M,Single,Student,1,Undergrad,Boise-Idaho,Google 5-Panel Cap,Headgear,2.0,19.59,6.5,HGEAR10,10.0
8,14688,18,M,Single,Student,1,Undergrad,Boise-Idaho,Sport Bag,Bags,2.0,3.99,6.0,AIO30,
9,16771,58,F,Single,Self Employed,2,Post Graduate,Fargo-North Dakota,Android RFID Journal,Notebooks & Journals,1.0,4.8,19.99,,10.0
10,16771,58,F,Single,Self Employed,2,Post Graduate,Fargo-North Dakota,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,1.0,16.99,6.0,,
11,16771,58,F,Single,Self Employed,2,Post Graduate,Fargo-North Dakota,Nest Learning Thermostat 3rd Gen-USA - Copper,Nest-USA,2.0,151.88,6.5,,30.0
12,16771,58,F,Single,Self Employed,2,Post Graduate,Fargo-North Dakota,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,2.0,151.88,6.5,,
13,16771,58,F,Single,Self Employed,2,Post Graduate,Fargo-North Dakota,Ballpoint LED Light Pen,Office,2.0,2.55,6.0,,30.0
14,16771,58,F,Single,Self Employed,2,Post Graduate,Fargo-North Dakota,YouTube Tee Black,Apparel,1.0,22.41,6.0,,
15,16771,58,F,Single,Self Employed,2,Post Graduate,Fargo-North Dakota,Google Tee Blue,Apparel,1.0,17.93,12.99,,
16,12583,15,M,Single,Student,0,High School,Cheyenne-Wyoming,Google Men's Pullover Hoodie Grey,Apparel,1.0,42.91,6.5,,
17,12583,15,M,Single,Student,0,High School,Cheyenne-Wyoming,Google Women's Short Sleeve Hero Tee Black,Apparel,1.0,14.02,6.5,SALE10,10.0
18,12583,15,M,Single,Student,0,High School,Cheyenne-Wyoming,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,149.0,6.0,ELEC20,20.0
19,12583,15,M,Single,Student,0,High School,Cheyenne-Wyoming,Switch Tone Color Crayon Pen,Office,1.0,1.64,6.5,OFF10,10.0
20,13141,59,M,Married,Employee,0,Graduate,Tulsa-Oklahoma,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,119.0,6.0,,20.0
21,13141,59,M,Married,Employee,0,Graduate,Tulsa-Oklahoma,Google Large Standard Journal Navy,Office,1.0,15.99,6.0,,20.0
22,17961,46,M,Prefer not to say,Employee,3,Post Graduate,El Paso-Texas,Google Men's Short Sleeve Hero Tee Light Blue,Apparel,1.0,15.19,6.0,SALE10,10.0
23,17961,46,M,Prefer not to say,Employee,3,Post Graduate,El Paso-Texas,Google Men's Short Sleeve Hero Tee Charcoal,Apparel,1.0,10.63,6.0,,10.0
24,17961,46,M,Prefer not to say,Employee,3,Post Graduate,El Paso-Texas,Google Onesie Green,Apparel,11.0,16.79,6.0,SALE10,10.0
25,17961,46,M,Prefer not to say,Employee,3,Post Graduate,El Paso-Texas,Google 3/4 Sleeve Raglan Badge Henley Black,Apparel,4.0,25.78,6.5,,10.0
26,17961,46,M,Prefer not to say,Employee,3,Post Graduate,El Paso-Texas,Google Men's Vintage Badge Tee White,Apparel,1.0,4.56,6.0,SALE10,10.0
27,17961,46,M,Prefer not to say,Employee,3,Post Graduate,El Paso-Texas,Google Rucksack,Bags,3.0,72.2,6.5,,10.0
28,17961,46,M,Prefer not to say,Employee,3,Post Graduate,El Paso-Texas,Google Infant Zip Hood Pink,Apparel,1.0,31.35,6.5,,10.0
29,17961,46,M,Prefer not to say,Employee,3,Post Graduate,El Paso-Texas,Google Laptop and Cell Phone Stickers,Office,1.0,2.39,49.73,,10.0
30,17961,46,M,Prefer not to say,Employee,3,Post Graduate,El Paso-Texas,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,149.0,6.0,ELEC10,10.0
31,14060,47,F,Single,Employee,0,Post Graduate,Cheyenne-Wyoming,Google Men's Watershed Full Zip Hoodie Grey,Apparel,1.0,44.0,6.0,,20.0
