Customer_ID,Age,Gender,Marital Status,Occupation,Monthly Income,Location,Product_Description,Product_Category,Quantity,Unit_Price,Delivery_Charges,Coupon,Discount_Rate
16244,20,M,Single,Student,0,Peoria-Illinois,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1.0,102.13,6.5,,0.0
16244,20,M,Single,Student,0,Peoria-Illinois,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,,0.0
14688,18,M,Single,Student,1,Boise-Idaho,Google Women's Scoop Neck Tee White,Apparel,1.0,6.0,6.0,,0.0
14688,18,M,Single,Student,1,Boise-Idaho,Nest Thermostat E - USA,Nest,3.0,99.0,6.5,,0.0
14688,18,M,Single,Student,1,Boise-Idaho,25L Classic Rucksack,Backpacks,1.0,103.15,6.5,,0.0
14688,18,M,Single,Student,1,Boise-Idaho,Nest Learning Thermostat 3rd Gen - CA - Stainless Steel,Nest-Canada,2.0,199.0,8.7,,0.0
14688,18,M,Single,Student,1,Boise-Idaho,YouTube Men's Short Sleeve Hero Tee Black,Apparel,1.0,13.59,6.0,,0.0
14688,18,M,Single,Student,1,Boise-Idaho,Google 5-Panel Cap,Headgear,2.0,19.59,6.5,HGEAR10,10.0
14688,18,M,Single,Student,1,Boise-Idaho,Sport Bag,Bags,2.0,3.99,6.0,AIO30,30.0
16771,58,F,Single,Self Employed,2,Fargo-North Dakota,Android RFID Journal,Notebooks & Journals,1.0,4.8,19.99,,0.0
16771,58,F,Single,Self Employed,2,Fargo-North Dakota,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,1.0,16.99,6.0,,0.0
16771,58,F,Single,Self Employed,2,Fargo-North Dakota,Nest Learning Thermostat 3rd Gen-USA - Copper,Nest-USA,2.0,151.88,6.5,,0.0
16771,58,F,Single,Self Employed,2,Fargo-North Dakota,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,2.0,151.88,6.5,,0.0
16771,58,F,Single,Self Employed,2,Fargo-North Dakota,Ballpoint LED Light Pen,Office,2.0,2.55,6.0,,0.0
16771,58,F,Single,Self Employed,2,Fargo-North Dakota,YouTube Tee Black,Apparel,1.0,22.41,6.0,,0.0
16771,58,F,Single,Self Employed,2,Fargo-North Dakota,Google Tee Blue,Apparel,1.0,17.93,12.99,,0.0
12583,15,M,Single,Student,0,Cheyenne-Wyoming,Google Men's Pullover Hoodie Grey,Apparel,1.0,42.91,6.5,,0.0
12583,15,M,Single,Student,0,Cheyenne-Wyoming,Google Women's Short Sleeve Hero Tee Black,Apparel,1.0,14.02,6.5,SALE10,10.0
12583,15,M,Single,Student,0,Cheyenne-Wyoming,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,149.0,6.0,ELEC20,20.0
12583,15,M,Single,Student,0,Cheyenne-Wyoming,Switch Tone Color Crayon Pen,Office,1.0,1.64,6.5,OFF10,10.0
13141,59,M,Married,Employee,0,Tulsa-Oklahoma,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,119.0,6.0,,0.0
13141,59,M,Married,Employee,0,Tulsa-Oklahoma,Google Large Standard Journal Navy,Office,1.0,15.99,6.0,,0.0
