Customer_ID,Product_Description,Product_Category,Quantity,Unit_Price,Delivery_Charges,Coupon,Discount_Rate
17372,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1,149.0,6.0,,
17456,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,Apparel,2,16.99,6.0,,10.0
15527,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119.0,6.0,,10.0
14606,Google 17oz Stainless Steel Sport Bottle,Drinkware,1,16.79,6.0,EXTRA30,30.0
14413,YouTube Twill Cap,Apparel,5,10.99,19.99,,20.0
12433,Google Men's 100% Cotton Short Sleeve Hero Tee Red,Apparel,1,14.02,12.76,,10.0
16916,Red Spiral Google Notebook,Office,1,8.24,18.47,,
12472,Windup Android,Lifestyle,15,3.19,27.62,,10.0
12668,Google Women's Short Sleeve Hero Tee Heather,Apparel,1,7.6,6.5,,20.0
14680,Google Men's Short Sleeve Performance Badge Tee Pewter,Apparel,1,12.31,13.35,,
14532,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,3,79.0,6.5,,20.0
16727,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,119.0,6.0,ELEC10,10.0
15856,Google Men's Bike Short Sleeve Tee Charcoal,Apparel,1,15.99,6.0,,10.0
15012,Leatherette Journal,Office,31,8.78,41.3,,
12766,Google Men's Pullover Hoodie Grey,Apparel,1,29.11,6.0,,20.0
15039,Google Hard Cover Journal,Notebooks & Journals,2,11.99,13.78,,
17341,Android Onesie Baby Blue,Apparel,5,19.19,47.45,SALE10,
14150,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,79.0,6.0,,30.0
13089,Android 17oz Stainless Steel Sport Bottle,Drinkware,1,10.63,6.0,,
14784,Four Color Retractable Pen,Office,5,2.99,6.0,OFF30,
16670,YouTube Twill Cap,Apparel,1,10.99,19.99,SALE20,20.0
17256,Maze Pen,Office,7,1.01,6.0,,30.0
14723,Google Men's Long Sleeve Pullover Badge Tee Heather,Apparel,1,27.99,6.5,,
17841,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119.0,6.0,,20.0
13426,Google 22 oz Water Bottle,Drinkware,1,2.39,6.0,EXTRA20,20.0
14896,Google Women's Short Sleeve Hero Tee Red Heather,Apparel,1,15.19,6.0,,10.0
13069,Google Sunglasses,Lifestyle,1,3.5,6.5,EXTRA20,20.0
17732,Leatherette Journal,Office,1,9.07,6.5,,
14534,Nest Learning Thermostat 3rd Gen-USA - Copper,Nest-USA,1,149.0,6.0,,10.0
15227,Nest Cam IQ - USA,Nest,1,199.0,6.0,,
15057,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119.0,6.0,ELEC20,20.0
